probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK1268.DC,20250102,2381.35,2347.7,2447.4,2347.7,45.45,1.95,9556267.0,7464389304.0,4.27,5.62,行业板块
explicit_idx_type,行业板块,BK1269.DC,20250102,7899.55,8090.41,8090.41,7827.34,-172.82,-2.14,636272.0,1548799356.0,3.26,1.66,行业板块
explicit_idx_type,行业板块,BK1270.DC,20250102,1698.28,1660.83,1752.22,1660.83,23.43,1.4,4011892.0,6652813800.0,5.46,8.52,行业板块
explicit_idx_type,行业板块,BK1271.DC,20250102,2544.12,2490.01,2592.29,2490.01,63.72,2.57,2269010.0,2470113107.0,4.12,4.01,行业板块
explicit_idx_type,行业板块,BK1272.DC,20250102,3190.98,3163.3,3265.32,3163.3,28.36,0.9,4199924.0,5087347248.0,3.23,2.93,行业板块
explicit_idx_type,行业板块,BK1273.DC,20250102,1001.65,1006.69,1034.51,992.83,-6.67,-0.66,486451.0,390805306.0,4.13,4.39,行业板块
explicit_idx_type,行业板块,BK1274.DC,20250102,2629.02,2685.28,2703.75,2609.43,-63.24,-2.35,8619534.0,6542966700.0,3.5,0.27,行业板块
explicit_idx_type,行业板块,BK1275.DC,20250102,1229.8,1243.4,1263.86,1223.37,-18.3,-1.47,4332535.0,2035508718.0,3.24,1.07,行业板块
explicit_idx_type,行业板块,BK1276.DC,20250102,2282.82,2331.23,2361.19,2267.01,-36.9,-1.59,2895490.0,2078346509.0,4.06,1.76,行业板块
explicit_idx_type,行业板块,BK1277.DC,20250102,6781.46,6907.96,6920.21,6734.9,-178.02,-2.56,2636184.0,20703959115.0,2.66,1.47,行业板块
explicit_idx_type,行业板块,BK1278.DC,20250102,4385.68,4298.48,4472.82,4298.48,93.68,2.18,7525533.0,5668289244.0,4.06,4.63,行业板块
explicit_idx_type,行业板块,BK1279.DC,20250102,2077.25,2080.17,2125.6,2064.46,-10.7,-0.51,1992629.0,2653701403.0,2.93,1.62,行业板块
explicit_idx_type,行业板块,BK1280.DC,20250102,4501.43,4450.34,4612.64,4450.34,64.36,1.45,4090782.0,3993710355.0,3.66,2.54,行业板块
explicit_idx_type,行业板块,BK1281.DC,20250102,2247.82,2189.37,2302.3,2189.37,66.34,3.04,5007426.0,7536614797.0,5.18,5.53,行业板块
