ts_code,phase,view,group,trend,volatility,activity,n,coverage,negative_days,mean_loss_on_negative_days,enough_samples,up_rate,up_rate_ci95_low,up_rate_ci95_high,up_rate_valid_fraction,mean_return,mean_return_ci95_low,mean_return_ci95_high,mean_return_valid_fraction,mean_abs_return,mean_abs_return_ci95_low,mean_abs_return_ci95_high,mean_abs_return_valid_fraction,mean_downside,mean_downside_ci95_low,mean_downside_ci95_high,mean_downside_valid_fraction
000300.SH,D,amount,7,up,high,high,145,0.154419595314164,62,0.00895942635317536,True,0.5724137931034483,0.4782608695652174,0.651614715476622,1.0,0.0011047435467822842,-0.0012730599691188334,0.0030680473341574794,1.0,0.008766597807428797,0.007208441882168425,0.01053380488682737,1.0,0.0038309271303232574,0.0026184516224773487,0.005442578157521176,1.0
000300.SH,D,volume,0,down,low,low,141,0.1501597444089457,84,0.01175671715527379,True,0.40425531914893614,0.35119047619047616,0.4766355140186916,1.0,-0.0032194513701891275,-0.005164221200512926,-0.0007843219783128922,1.0,0.010788552048860504,0.009433002144958512,0.012512419073722445,1.0,0.0070040017095248115,0.005503139781814031,0.008541865077891597,1.0
000300.SH,D,volume,1,down,low,high,37,0.039403620873269436,12,0.009402181414282665,False,0.6756756756756757,0.5263157894736842,0.8125,1.0,0.0034559778912389163,-0.00024834198350121673,0.0069722873354146845,1.0,0.009554690159962806,0.007497301746475543,0.012321002554256912,1.0,0.003049356134361945,0.0014561906936823603,0.004977387649645953,1.0
000300.SH,D,volume,2,down,high,low,100,0.10649627263045794,42,0.013720617737441768,True,0.58,0.4691358024691358,0.6956628303495309,1.0,0.0022261770727064656,-0.0010889182627791811,0.005640207419970579,1.0,0.01375149597215755,0.01221419789509705,0.016154415858266585,1.0,0.005762659449725542,0.004313567954067088,0.0075546798660173255,1.0
000300.SH,D,volume,3,down,high,high,45,0.04792332268370607,28,0.008089482946012179,False,0.37777777777777777,0.2580522971652004,0.5128205128205128,1.0,0.0002636277396836522,-0.0030881497679516095,0.003755654081566685,1.0,0.010330539850276585,0.008039379354015486,0.01246352661943307,1.0,0.005033456055296467,0.003201045103022734,0.006766681226857758,1.0
000300.SH,D,volume,4,up,low,low,28,0.029818956336528223,17,0.009596266468197686,False,0.39285714285714285,0.21052631578947367,0.5714285714285714,1.0,-0.001808667433222075,-0.00615277741254945,0.0030908918234695657,1.0,0.009843941849589402,0.007976462022289129,0.012376342341217197,1.0,0.0058263046414057384,0.0038152080811703305,0.008061183591101213,1.0
000300.SH,D,volume,5,up,low,high,93,0.09904153354632587,46,0.008186116678495533,True,0.5053763440860215,0.4084507042253521,0.5948303142732431,1.0,0.0005069790586354441,-0.0019303677006909368,0.002882499033562351,1.0,0.008605072977147153,0.006965470253161451,0.010726339793811936,1.0,0.004049046959255854,0.0028428022489871163,0.005605314445098742,1.0
000300.SH,D,volume,6,up,high,low,44,0.046858359957401494,28,0.012976401113017242,False,0.36363636363636365,0.19444444444444445,0.5428571428571428,1.0,-0.0032265513201221426,-0.009618671866039017,0.001551564059526608,1.0,0.013288868278263437,0.010560205599518025,0.0176537609626144,1.0,0.00825770979919279,0.005075709535063157,0.013208843142877331,1.0
000300.SH,D,volume,7,up,high,high,138,0.14696485623003194,59,0.008378211153475654,True,0.572463768115942,0.47706422018348627,0.6544502617801047,1.0,0.0012128059179587086,-0.0008956012203311914,0.0031179451528203224,1.0,0.008376783570930645,0.0068839258348331635,0.009979826826250822,1.0,0.003581988826485968,0.0025946017659155855,0.004804689886874059,1.0
000300.SH,V1,amount,0,down,low,low,113,0.12034078807241747,49,0.00554299875921082,True,0.5663716814159292,0.46721161900203423,0.6640680803571428,1.0,0.001428326435603305,5.434431334347359e-05,0.003005142536529018,1.0,0.006235528899343662,0.005041240051754085,0.0073971594096812155,1.0,0.0024036012318701784,0.0015552869327496498,0.003173840342217449,1.0
000300.SH,V1,amount,1,down,low,high,44,0.046858359957401494,16,0.007171304572203399,False,0.6363636363636364,0.4883720930232558,0.7872340425531915,1.0,0.0020826210918490603,-0.0008730147537337185,0.005078458090515419,1.0,0.007298115326178805,0.005204286440345319,0.009741630863975522,1.0,0.0026077471171648725,0.001064298369407308,0.004529649890867851,1.0
000300.SH,V1,amount,2,down,high,low,74,0.07880724174653887,29,0.024277608802541567,True,0.6081081081081081,0.5,0.7297297297297297,1.0,0.0009104970800207914,-0.0064611183683506756,0.008267245753341621,1.0,0.019938893168499318,0.015350976223385302,0.025149382454813452,1.0,0.009514198044239263,0.004424583883395431,0.015392981701403893,1.0
000300.SH,V1,amount,3,down,high,high,17,0.01810436634717785,7,0.022896725165686464,False,0.5882352941176471,0.35294117647058826,0.8333333333333334,0.9999,-0.004316870151908534,-0.017819388014619887,0.005706675159099974,0.9999,0.014539256455127377,0.006267488648491374,0.0258824538894675,0.9999,0.009428063303517956,0.0011630474153610346,0.021478564135691117,0.9999
000300.SH,V1,amount,4,up,low,low,63,0.0670926517571885,29,0.00863996441739698,True,0.5396825396825397,0.35294117647058826,0.6666666666666666,1.0,-0.00019094675465750098,-0.003738719739073219,0.002423853056544034,1.0,0.007763306201041305,0.006626118558238539,0.00965921092606583,1.0,0.003977126477849403,0.0025547127864272864,0.006393620529845423,1.0
000300.SH,V1,amount,5,up,low,high,195,0.20766773162939298,90,0.004981443504767022,True,0.5384615384615384,0.4647887323943662,0.6149732620320856,1.0,0.0020762933271013017,0.00030688327715365775,0.004301794406337989,1.0,0.006674548869963168,0.005070550537699552,0.00843739665313869,1.0,0.0022991277714309332,0.0016415096194127435,0.002915897910330615,1.0
000300.SH,V1,amount,6,up,high,low,41,0.043663471778487756,19,0.013004529419051888,False,0.5365853658536586,0.4117647058823529,0.6500150602409637,1.0,0.0030691076129097045,-0.003547424762079817,0.008297804850664493,1.0,0.015122086098860236,0.011150724060128145,0.0183489278273516,1.0,0.006026489242975265,0.0032590497600297275,0.00957210828407936,1.0
000300.SH,V1,amount,7,up,high,high,85,0.09052183173588925,33,0.012423964023385196,True,0.611764705882353,0.5352112676056338,0.6694232385488164,1.0,0.00217723473849645,-6.0325089135862966e-05,0.003972691285750849,1.0,0.011824077391948486,0.009025034683483051,0.014681530545824436,1.0,0.004823421326726017,0.0033258240545464474,0.006654814237584635,1.0
000300.SH,V1,volume,0,down,low,low,125,0.13312034078807242,57,0.00548872423705594,True,0.544,0.4477576403695807,0.6351391096979331,1.0,0.0008637134828645205,-0.0005006137464252063,0.0023641543209173116,1.0,0.005869429987059538,0.004851248109612335,0.006858539863459987,1.0,0.002502858252097509,0.0017343241880357781,0.003207293553919613,1.0
000300.SH,V1,volume,1,down,low,high,46,0.04898828541001065,18,0.007300393641294626,False,0.6086956521739131,0.47055822328931574,0.75,1.0,0.001512282044228377,-0.001563375216307263,0.00448899601869597,1.0,0.007225633589589389,0.004963939051581566,0.009910172221360187,1.0,0.002856675772680506,0.0010102230278949348,0.0052315020583282275,1.0
